,00000,01000,10000,11000,00100,01100,10100,11100,00010,01010,10010,11010,00110,01110,10110,11110,00001,01001,10001,11001,00101,01101,10101,11101,00011,01011,10011,11011,00111,01111,10111,11111
10_1004.topo,197728000,20885760,154554624,3487921920,592704,99456000,13440000,12982588416,12982588416,1754403840,3487921920,10827585280,99456000,1754403840,20885760,25810622208,25810622208,20885760,1754403840,99456000,10827585280,3487921920,1754403840,12982588416,12982588416,13440000,99456000,592704,3487921920,154554624,20885760,197728000
10_1005.topo,735974400,20885760,1754403840,3487921920,20885760,471340800,237081600,40301958144,4182119424,99456000,735974400,307269312,99456000,154554624,20885760,6934320960,6934320960,20885760,154554624,99456000,307269312,735974400,99456000,4182119424,40301958144,237081600,471340800,20885760,3487921920,1754403840,20885760,735974400
10_1006.topo,1754403840,99456000,20885760,41522880,1754403840,12982588416,99456000,25810622208,5446210560,4182119424,471340800,5446210560,5611200,735974400,248640,3487921920,3487921920,248640,735974400,5611200,5446210560,471340800,4182119424,5446210560,25810622208,99456000,12982588416,1754403840,41522880,20885760,99456000,1754403840
10_1007.topo,471340800,248640,64835840,11155600,1754403840,735974400,1754403840,25810622208,5446210560,237081600,8314451712,5446210560,20885760,237081600,99456000,12982588416,12982588416,99456000,237081600,20885760,5446210560,8314451712,237081600,5446210560,25810622208,1754403840,735974400,1754403840,11155600,64835840,248640,471340800
10_1008.topo,735974400,20885760,154554624,937070400,237081600,1754403840,237081600,40301958144,3487921920,1754403840,3487921920,40301958144,248640,99456000,1184000,8314451712,8314451712,1184000,99456000,248640,40301958144,3487921920,1754403840,3487921920,40301958144,237081600,1754403840,237081600,937070400,154554624,20885760,735974400
10_1009.topo,1754403840,8761600,735974400,196784784,1754403840,3487921920,1754403840,80124131072,1754403840,237081600,1754403840,5446210560,1184000,20885760,2822400,3487921920,3487921920,2822400,20885760,1184000,5446210560,1754403840,237081600,1754403840,80124131072,1754403840,3487921920,1754403840,196784784,735974400,8761600,1754403840
10_101.topo,735974400,49787136,20885760,197728000,1754403840,99456000,237081600,154554624,1754403840,99456000,237081600,154554624,25810622208,307269312,5446210560,6934320960,6934320960,5446210560,307269312,25810622208,154554624,237081600,99456000,1754403840,154554624,237081600,99456000,1754403840,197728000,20885760,49787136,735974400
10_1010.topo,471340800,2822400,20885760,8761600,154554624,735974400,99456000,8314451712,40301958144,1754403840,3487921920,3487921920,471340800,1754403840,20885760,5446210560,5446210560,20885760,1754403840,471340800,3487921920,3487921920,1754403840,40301958144,8314451712,99456000,735974400,154554624,8761600,20885760,2822400,471340800
10_1011.topo,735974400,237081600,49787136,735974400,20885760,1754403840,13440000,12982588416,25810622208,12982588416,1463187200,25810622208,5611200,735974400,248640,3487921920,3487921920,248640,735974400,5611200,25810622208,1463187200,12982588416,25810622208,12982588416,13440000,1754403840,20885760,735974400,49787136,237081600,735974400
10_1012.topo,1754403840,99456000,237081600,154554624,154554624,3487921920,99456000,25810622208,12982588416,1754403840,735974400,3487921920,26720000,154554624,592704,1463187200,1463187200,592704,154554624,26720000,3487921920,735974400,1754403840,12982588416,25810622208,99456000,3487921920,154554624,154554624,237081600,99456000,1754403840
10_1013.topo,197728000,592704,154554624,197728000,20885760,99456000,237081600,12982588416,25810622208,735974400,25810622208,25810622208,20885760,237081600,99456000,12982588416,12982588416,99456000,237081600,20885760,25810622208,25810622208,735974400,25810622208,12982588416,237081600,99456000,20885760,197728000,154554624,592704,197728000
10_1014.topo,471340800,248640,735974400,41522880,154554624,197728000,1754403840,25810622208,12982588416,99456000,12982588416,3487921920,99456000,49787136,237081600,5446210560,5446210560,237081600,49787136,99456000,3487921920,12982588416,99456000,12982588416,25810622208,1754403840,197728000,154554624,41522880,735974400,248640,471340800
10_1015.topo,735974400,20885760,1754403840,3487921920,20885760,471340800,237081600,40301958144,8314451712,735974400,5446210560,25810622208,1184000,20885760,2822400,3487921920,3487921920,2822400,20885760,1184000,25810622208,5446210560,735974400,8314451712,40301958144,237081600,471340800,20885760,3487921920,1754403840,20885760,735974400
10_1016.topo,1754403840,1754403840,20885760,1463187200,99456000,12982588416,2822400,25810622208,5446210560,237081600,471340800,154554624,98981568,735974400,8761600,3487921920,3487921920,8761600,735974400,98981568,154554624,471340800,237081600,5446210560,25810622208,2822400,12982588416,99456000,1463187200,20885760,1754403840,1754403840
10_1017.topo,735974400,20885760,154554624,937070400,237081600,1754403840,237081600,40301958144,3487921920,2822400,3487921920,64835840,154554624,99456000,735974400,8314451712,8314451712,735974400,99456000,154554624,64835840,3487921920,2822400,3487921920,40301958144,237081600,1754403840,237081600,937070400,154554624,20885760,735974400
10_1018.topo,471340800,154554624,64835840,6934320960,2822400,735974400,2822400,25810622208,5446210560,237081600,8314451712,5446210560,20885760,237081600,99456000,12982588416,12982588416,99456000,237081600,20885760,5446210560,8314451712,237081600,5446210560,25810622208,2822400,735974400,2822400,6934320960,64835840,154554624,471340800
10_1019.topo,1754403840,154554624,735974400,6934320960,99456000,3487921920,49787136,80124131072,1754403840,13440000,1754403840,154554624,20885760,20885760,99456000,3487921920,3487921920,99456000,20885760,20885760,154554624,1754403840,13440000,1754403840,80124131072,49787136,3487921920,99456000,6934320960,735974400,154554624,1754403840
10_102.topo,197728000,154554624,1839936,937070400,49787136,99456000,13440000,154554624,1754403840,1754403840,237081600,5446210560,5446210560,3487921920,1754403840,25810622208,25810622208,1754403840,3487921920,5446210560,5446210560,237081600,1754403840,1754403840,154554624,13440000,99456000,49787136,937070400,1839936,154554624,197728000
10_1020.topo,735974400,237081600,49787136,735974400,20885760,1754403840,13440000,12982588416,25810622208,20885760,1463187200,41522880,3487921920,735974400,154554624,3487921920,3487921920,154554624,735974400,3487921920,41522880,1463187200,20885760,25810622208,12982588416,13440000,1754403840,20885760,735974400,49787136,237081600,735974400
10_1021.topo,471340800,1754403840,20885760,5446210560,248640,735974400,160000,8314451712,40301958144,1754403840,3487921920,3487921920,471340800,1754403840,20885760,5446210560,5446210560,20885760,1754403840,471340800,3487921920,3487921920,1754403840,40301958144,8314451712,160000,735974400,248640,5446210560,20885760,1754403840,471340800
10_1022.topo,1754403840,1754403840,237081600,5446210560,8761600,3487921920,2822400,25810622208,12982588416,99456000,735974400,98981568,471340800,154554624,20885760,1463187200,1463187200,20885760,154554624,471340800,98981568,735974400,99456000,12982588416,25810622208,2822400,3487921920,8761600,5446210560,237081600,1754403840,1754403840
10_1023.topo,197728000,20885760,154554624,3487921920,592704,99456000,13440000,12982588416,25810622208,20885760,25810622208,1463187200,735974400,237081600,1754403840,12982588416,12982588416,1754403840,237081600,735974400,1463187200,25810622208,20885760,25810622208,12982588416,13440000,99456000,592704,3487921920,154554624,20885760,197728000
10_1024.topo,735974400,20885760,1754403840,3487921920,20885760,471340800,237081600,40301958144,8314451712,1184000,5446210560,41522880,735974400,20885760,1754403840,3487921920,3487921920,1754403840,20885760,735974400,41522880,5446210560,1184000,8314451712,40301958144,237081600,471340800,20885760,3487921920,1754403840,20885760,735974400
