f0,f1,f2,f3,n_params
0,1,7,0,1596
0,1,7,1,684
0,1,7,2,684
0,1,7,3,114
0,1,7,4,2166
0,1,7,5,1596
0,1,7,6,1596
0,1,7,7,684
0,2,0,0,1176
0,2,0,1,504
0,2,0,2,504
0,2,0,3,84
0,2,0,4,1596
0,2,0,5,1176
0,2,0,6,1176
0,2,0,7,504
0,2,1,0,504
0,2,1,1,216
0,2,1,2,216
0,2,1,3,36
0,2,1,4,684
0,2,1,5,504
0,2,1,6,504
0,2,1,7,216
0,2,2,0,1596
0,2,2,1,684
0,2,2,2,684
0,2,2,3,114
0,2,2,4,2166
0,2,2,5,1596
0,2,2,6,1596
0,2,2,7,684
0,2,3,0,1176
0,2,3,1,504
0,2,3,2,504
0,2,3,3,84
0,2,3,4,1596
0,2,3,5,1176
0,2,3,6,1176
0,2,3,7,504
0,2,4,0,504
0,2,4,1,216
0,2,4,2,216
0,2,4,3,36
0,2,4,4,684
0,2,4,5,504
0,2,4,6,504
0,2,4,7,216
0,2,5,0,84
0,2,5,1,36
0,2,5,2,36
0,2,5,3,6
0,2,5,4,114
0,2,5,5,84
0,2,5,6,84
0,2,5,7,36
0,2,6,0,1176
0,2,6,1,504
0,2,6,2,504
0,2,6,3,84
0,2,6,4,1596
0,2,6,5,1176
0,2,6,6,1176
0,2,6,7,504
0,2,7,0,504
0,2,7,1,216
0,2,7,2,216
0,2,7,3,36
0,2,7,4,684
0,2,7,5,504
0,2,7,6,504
0,2,7,7,216
0,3,0,0,2744
0,3,0,1,1176
0,3,0,2,1176
0,3,0,3,196
0,3,0,4,3724
0,3,0,5,2744
0,3,0,6,2744
0,3,0,7,1176
0,3,1,0,1176
0,3,1,1,504
0,3,1,2,504
0,3,1,3,84
0,3,1,4,1596
0,3,1,5,1176
0,3,1,6,1176
0,3,1,7,504
0,3,2,0,3724
0,3,2,1,1596
0,3,2,2,1596
0,3,2,3,266
0,3,2,4,5054
0,3,2,5,3724
0,3,2,6,3724
0,3,2,7,1596
0,3,3,0,2744
0,3,3,1,1176
0,3,3,2,1176
0,3,3,3,196
0,3,3,4,3724
0,3,3,5,2744
0,3,3,6,2744
0,3,3,7,1176
0,3,4,0,1176
0,3,4,1,504
0,3,4,2,504
0,3,4,3,84
0,3,4,4,1596
0,3,4,5,1176
0,3,4,6,1176
0,3,4,7,504
0,3,5,0,196
0,3,5,1,84
0,3,5,2,84
0,3,5,3,14
0,3,5,4,266
0,3,5,5,196
0,3,5,6,196
0,3,5,7,84
0,3,6,0,2744
0,3,6,1,1176
0,3,6,2,1176
0,3,6,3,196
0,3,6,4,3724
0,3,6,5,2744
0,3,6,6,2744
0,3,6,7,1176
0,3,7,0,1176
0,3,7,1,504
0,3,7,2,504
0,3,7,3,84
0,3,7,4,1596
0,3,7,5,1176
0,3,7,6,1176
0,3,7,7,504
0,4,0,0,1176
0,4,0,1,504
0,4,0,2,504
0,4,0,3,84
0,4,0,4,1596
0,4,0,5,1176
0,4,0,6,1176
0,4,0,7,504
0,4,1,0,504
0,4,1,1,216
0,4,1,2,216
0,4,1,3,36
0,4,1,4,684
0,4,1,5,504
0,4,1,6,504
0,4,1,7,216
0,4,2,0,1596
0,4,2,1,684
0,4,2,2,684
0,4,2,3,114
0,4,2,4,2166
0,4,2,5,1596
0,4,2,6,1596
0,4,2,7,684
0,4,3,0,1176
0,4,3,1,504
0,4,3,2,504
0,4,3,3,84
0,4,3,4,1596
0,4,3,5,1176
0,4,3,6,1176
0,4,3,7,504
0,4,4,0,504
0,4,4,1,216
0,4,4,2,216
0,4,4,3,36
0,4,4,4,684
0,4,4,5,504
0,4,4,6,504
0,4,4,7,216
0,4,5,0,84
0,4,5,1,36
0,4,5,2,36
0,4,5,3,6
0,4,5,4,114
0,4,5,5,84
0,4,5,6,84
0,4,5,7,36
0,4,6,0,1176
0,4,6,1,504
0,4,6,2,504
0,4,6,3,84
0,4,6,4,1596
0,4,6,5,1176
0,4,6,6,1176
0,4,6,7,504
0,4,7,0,504
0,4,7,1,216
0,4,7,2,216
0,4,7,3,36
0,4,7,4,684
0,4,7,5,504
0,4,7,6,504
0,4,7,7,216
0,5,0,0,2744
0,5,0,1,1176
0,5,0,2,1176
0,5,0,3,196
0,5,0,4,3724
0,5,0,5,2744
0,5,0,6,2744
0,5,0,7,1176
0,5,1,0,1176
0,5,1,1,504
0,5,1,2,504
0,5,1,3,84
0,5,1,4,1596
0,5,1,5,1176
0,5,1,6,1176
0,5,1,7,504
0,5,2,0,3724
0,5,2,1,1596
0,5,2,2,1596
0,5,2,3,266
0,5,2,4,5054
0,5,2,5,3724
0,5,2,6,3724
0,5,2,7,1596
0,5,3,0,2744
0,5,3,1,1176
0,5,3,2,1176
0,5,3,3,196
0,5,3,4,3724
0,5,3,5,2744
0,5,3,6,2744
0,5,3,7,1176
0,5,4,0,1176
0,5,4,1,504
0,5,4,2,504
0,5,4,3,84
0,5,4,4,1596
0,5,4,5,1176
0,5,4,6,1176
0,5,4,7,504
0,5,5,0,196
0,5,5,1,84
0,5,5,2,84
0,5,5,3,14
0,5,5,4,266
0,5,5,5,196
0,5,5,6,196
0,5,5,7,84
0,5,6,0,2744
0,5,6,1,1176
0,5,6,2,1176
0,5,6,3,196
0,5,6,4,3724
0,5,6,5,2744
0,5,6,6,2744
0,5,6,7,1176
0,5,7,0,1176
0,5,7,1,504
0,5,7,2,504
0,5,7,3,84
0,5,7,4,1596
0,5,7,5,1176
0,5,7,6,1176
0,5,7,7,504
0,6,0,0,196
0,6,0,1,84
0,6,0,2,84
0,6,0,3,14
0,6,0,4,266
0,6,0,5,196
0,6,0,6,196
0,6,0,7,84
0,6,1,0,84
0,6,1,1,36
0,6,1,2,36
0,6,1,3,6
0,6,1,4,114
0,6,1,5,84
0,6,1,6,84
0,6,1,7,36
0,6,2,0,266
0,6,2,1,114
0,6,2,2,114
0,6,2,3,19
0,6,2,4,361
0,6,2,5,266
0,6,2,6,266
0,6,2,7,114
0,6,3,0,196
0,6,3,1,84
0,6,3,2,84
0,6,3,3,14
0,6,3,4,266
0,6,3,5,196
0,6,3,6,196
0,6,3,7,84
0,6,4,0,84
0,6,4,1,36
0,6,4,2,36
0,6,4,3,6
0,6,4,4,114
0,6,4,5,84
0,6,4,6,84
0,6,4,7,36
0,6,5,0,14
0,6,5,1,6
0,6,5,2,6
0,6,5,3,1
0,6,5,4,19
0,6,5,5,14
0,6,5,6,14
0,6,5,7,6
0,6,6,0,196
0,6,6,1,84
0,6,6,2,84
0,6,6,3,14
0,6,6,4,266
0,6,6,5,196
0,6,6,6,196
0,6,6,7,84
0,6,7,0,84
0,6,7,1,36
0,6,7,2,36
0,6,7,3,6
0,6,7,4,114
0,6,7,5,84
0,6,7,6,84
0,6,7,7,36
0,7,0,0,1176
0,7,0,1,504
0,7,0,2,504
0,7,0,3,84
0,7,0,4,1596
0,7,0,5,1176
0,7,0,6,1176
0,7,0,7,504
0,7,1,0,504
0,7,1,1,216
0,7,1,2,216
0,7,1,3,36
0,7,1,4,684
0,7,1,5,504
0,7,1,6,504
0,7,1,7,216
0,7,2,0,1596
0,7,2,1,684
0,7,2,2,684
0,7,2,3,114
0,7,2,4,2166
0,7,2,5,1596
0,7,2,6,1596
0,7,2,7,684
0,7,3,0,1176
0,7,3,1,504
0,7,3,2,504
0,7,3,3,84
0,7,3,4,1596
0,7,3,5,1176
0,7,3,6,1176
0,7,3,7,504
0,7,4,0,504
0,7,4,1,216
0,7,4,2,216
0,7,4,3,36
0,7,4,4,684
0,7,4,5,504
0,7,4,6,504
0,7,4,7,216
0,7,5,0,84
0,7,5,1,36
0,7,5,2,36
0,7,5,3,6
0,7,5,4,114
0,7,5,5,84
0,7,5,6,84
0,7,5,7,36
0,7,6,0,1176
0,7,6,1,504
0,7,6,2,504
0,7,6,3,84
0,7,6,4,1596
0,7,6,5,1176
0,7,6,6,1176
0,7,6,7,504
0,7,7,0,504
0,7,7,1,216
0,7,7,2,216
0,7,7,3,36
0,7,7,4,684
0,7,7,5,504
0,7,7,6,504
0,7,7,7,216
1,0,0,0,16464
1,0,0,1,7056
1,0,0,2,7056
1,0,0,3,1176
1,0,0,4,22344
1,0,0,5,16464
1,0,0,6,16464
1,0,0,7,7056
1,0,1,0,7056
1,0,1,1,3024
1,0,1,2,3024
1,0,1,3,504
1,0,1,4,9576
1,0,1,5,7056
1,0,1,6,7056
1,0,1,7,3024
1,0,2,0,22344
1,0,2,1,9576
1,0,2,2,9576
1,0,2,3,1596
1,0,2,4,30324
1,0,2,5,22344
1,0,2,6,22344
1,0,2,7,9576
1,0,3,0,16464
1,0,3,1,7056
1,0,3,2,7056
1,0,3,3,1176
1,0,3,4,22344
1,0,3,5,16464
1,0,3,6,16464
1,0,3,7,7056
1,0,4,0,7056
1,0,4,1,3024
1,0,4,2,3024
1,0,4,3,504
1,0,4,4,9576
1,0,4,5,7056
1,0,4,6,7056
1,0,4,7,3024
1,0,5,0,1176
1,0,5,1,504
1,0,5,2,504
1,0,5,3,84
1,0,5,4,1596
1,0,5,5,1176
1,0,5,6,1176
1,0,5,7,504
1,0,6,0,16464
1,0,6,1,7056
1,0,6,2,7056
1,0,6,3,1176
1,0,6,4,22344
1,0,6,5,16464
1,0,6,6,16464
1,0,6,7,7056
1,0,7,0,7056
1,0,7,1,3024
1,0,7,2,3024
1,0,7,3,504
1,0,7,4,9576
1,0,7,5,7056
1,0,7,6,7056
1,0,7,7,3024
1,1,0,0,22344
1,1,0,1,9576
1,1,0,2,9576
1,1,0,3,1596
1,1,0,4,30324
1,1,0,5,22344
1,1,0,6,22344
1,1,0,7,9576
1,1,1,0,9576
1,1,1,1,4104
1,1,1,2,4104
1,1,1,3,684
1,1,1,4,12996
1,1,1,5,9576
1,1,1,6,9576
1,1,1,7,4104
1,1,2,0,30324
1,1,2,1,12996
1,1,2,2,12996
1,1,2,3,2166
1,1,2,4,41154
1,1,2,5,30324
1,1,2,6,30324
1,1,2,7,12996
1,1,3,0,22344
1,1,3,1,9576
1,1,3,2,9576
1,1,3,3,1596
1,1,3,4,30324
1,1,3,5,22344
1,1,3,6,22344
1,1,3,7,9576
1,1,4,0,9576
1,1,4,1,4104
1,1,4,2,4104
1,1,4,3,684
1,1,4,4,12996
1,1,4,5,9576
1,1,4,6,9576
1,1,4,7,4104
1,1,5,0,1596
1,1,5,1,684
1,1,5,2,684
1,1,5,3,114
1,1,5,4,2166
1,1,5,5,1596
1,1,5,6,1596
1,1,5,7,684
1,1,6,0,22344
1,1,6,1,9576
1,1,6,2,9576
1,1,6,3,1596
1,1,6,4,30324
1,1,6,5,22344
1,1,6,6,22344
1,1,6,7,9576
1,1,7,0,9576
1,1,7,1,4104
1,1,7,2,4104
1,1,7,3,684
1,1,7,4,12996
1,1,7,5,9576
1,1,7,6,9576
1,1,7,7,4104
1,2,0,0,7056
1,2,0,1,3024
1,2,0,2,3024
1,2,0,3,504
1,2,0,4,9576
1,2,0,5,7056
1,2,0,6,7056
1,2,0,7,3024
1,2,1,0,3024
1,2,1,1,1296
1,2,1,2,1296
1,2,1,3,216
1,2,1,4,4104
1,2,1,5,3024
1,2,1,6,3024
1,2,1,7,1296
1,2,2,0,9576
1,2,2,1,4104
1,2,2,2,4104
1,2,2,3,684
1,2,2,4,12996
1,2,2,5,9576
1,2,2,6,9576
1,2,2,7,4104
1,2,3,0,7056
1,2,3,1,3024
1,2,3,2,3024
1,2,3,3,504
1,2,3,4,9576
1,2,3,5,7056
1,2,3,6,7056
1,2,3,7,3024
1,2,4,0,3024
1,2,4,1,1296
1,2,4,2,1296
1,2,4,3,216
1,2,4,4,4104
1,2,4,5,3024
1,2,4,6,3024
1,2,4,7,1296
1,2,5,0,504
1,2,5,1,216
1,2,5,2,216
1,2,5,3,36
1,2,5,4,684
1,2,5,5,504
1,2,5,6,504
1,2,5,7,216
1,2,6,0,7056
1,2,6,1,3024
1,2,6,2,3024
1,2,6,3,504
1,2,6,4,9576
1,2,6,5,7056
1,2,6,6,7056
1,2,6,7,3024
1,2,7,0,3024
1,2,7,1,1296
1,2,7,2,1296
1,2,7,3,216
1,2,7,4,4104
1,2,7,5,3024
1,2,7,6,3024
1,2,7,7,1296
1,3,0,0,16464
1,3,0,1,7056
1,3,0,2,7056
1,3,0,3,1176
1,3,0,4,22344
1,3,0,5,16464
1,3,0,6,16464
1,3,0,7,7056
1,3,1,0,7056
1,3,1,1,3024
1,3,1,2,3024
1,3,1,3,504
1,3,1,4,9576
1,3,1,5,7056
1,3,1,6,7056
1,3,1,7,3024
1,3,2,0,22344
1,3,2,1,9576
1,3,2,2,9576
1,3,2,3,1596
1,3,2,4,30324
1,3,2,5,22344
1,3,2,6,22344
1,3,2,7,9576
1,3,3,0,16464
1,3,3,1,7056
1,3,3,2,7056
1,3,3,3,1176
1,3,3,4,22344
1,3,3,5,16464
1,3,3,6,16464
1,3,3,7,7056
1,3,4,0,7056
1,3,4,1,3024
1,3,4,2,3024
1,3,4,3,504
1,3,4,4,9576
1,3,4,5,7056
1,3,4,6,7056
1,3,4,7,3024
1,3,5,0,1176
1,3,5,1,504
1,3,5,2,504
1,3,5,3,84
1,3,5,4,1596
1,3,5,5,1176
1,3,5,6,1176
1,3,5,7,504
1,3,6,0,16464
1,3,6,1,7056
1,3,6,2,7056
1,3,6,3,1176
1,3,6,4,22344
1,3,6,5,16464
1,3,6,6,16464
1,3,6,7,7056
1,3,7,0,7056
1,3,7,1,3024
1,3,7,2,3024
1,3,7,3,504
1,3,7,4,9576
1,3,7,5,7056
1,3,7,6,7056
1,3,7,7,3024
1,4,0,0,7056
1,4,0,1,3024
1,4,0,2,3024
1,4,0,3,504
1,4,0,4,9576
1,4,0,5,7056
1,4,0,6,7056
1,4,0,7,3024
1,4,1,0,3024
1,4,1,1,1296
1,4,1,2,1296
1,4,1,3,216
1,4,1,4,4104
1,4,1,5,3024
1,4,1,6,3024
1,4,1,7,1296
1,4,2,0,9576
1,4,2,1,4104
1,4,2,2,4104
1,4,2,3,684
1,4,2,4,12996
1,4,2,5,9576
1,4,2,6,9576
1,4,2,7,4104
1,4,3,0,7056
1,4,3,1,3024
1,4,3,2,3024
1,4,3,3,504
1,4,3,4,9576
1,4,3,5,7056
1,4,3,6,7056
1,4,3,7,3024
1,4,4,0,3024
1,4,4,1,1296
1,4,4,2,1296
1,4,4,3,216
1,4,4,4,4104
1,4,4,5,3024
1,4,4,6,3024
1,4,4,7,1296
1,4,5,0,504
1,4,5,1,216
1,4,5,2,216
1,4,5,3,36
1,4,5,4,684
1,4,5,5,504
1,4,5,6,504
1,4,5,7,216
1,4,6,0,7056
1,4,6,1,3024
1,4,6,2,3024
1,4,6,3,504
1,4,6,4,9576
1,4,6,5,7056
1,4,6,6,7056
1,4,6,7,3024
1,4,7,0,3024
1,4,7,1,1296
1,4,7,2,1296
1,4,7,3,216
1,4,7,4,4104
1,4,7,5,3024
1,4,7,6,3024
1,4,7,7,1296
1,5,0,0,16464
1,5,0,1,7056
1,5,0,2,7056
1,5,0,3,1176
1,5,0,4,22344
1,5,0,5,16464
1,5,0,6,16464
1,5,0,7,7056
1,5,1,0,7056
1,5,1,1,3024
1,5,1,2,3024
1,5,1,3,504
1,5,1,4,9576
1,5,1,5,7056
1,5,1,6,7056
1,5,1,7,3024
1,5,2,0,22344
1,5,2,1,9576
1,5,2,2,9576
1,5,2,3,1596
1,5,2,4,30324
1,5,2,5,22344
1,5,2,6,22344
1,5,2,7,9576
1,5,3,0,16464
1,5,3,1,7056
1,5,3,2,7056
1,5,3,3,1176
1,5,3,4,22344
1,5,3,5,16464
1,5,3,6,16464
1,5,3,7,7056
1,5,4,0,7056
1,5,4,1,3024
1,5,4,2,3024
1,5,4,3,504
1,5,4,4,9576
1,5,4,5,7056
1,5,4,6,7056
1,5,4,7,3024
1,5,5,0,1176
1,5,5,1,504
1,5,5,2,504
1,5,5,3,84
1,5,5,4,1596
1,5,5,5,1176
1,5,5,6,1176
1,5,5,7,504
1,5,6,0,16464
1,5,6,1,7056
1,5,6,2,7056
1,5,6,3,1176
1,5,6,4,22344
1,5,6,5,16464
1,5,6,6,16464
1,5,6,7,7056
1,5,7,0,7056
1,5,7,1,3024
1,5,7,2,3024
1,5,7,3,504
1,5,7,4,9576
1,5,7,5,7056
1,5,7,6,7056
1,5,7,7,3024
1,6,0,0,1176
1,6,0,1,504
1,6,0,2,504
1,6,0,3,84
1,6,0,4,1596
1,6,0,5,1176
1,6,0,6,1176
1,6,0,7,504
1,6,1,0,504
1,6,1,1,216
1,6,1,2,216
1,6,1,3,36
1,6,1,4,684
1,6,1,5,504
1,6,1,6,504
1,6,1,7,216
1,6,2,0,1596
1,6,2,1,684
1,6,2,2,684
1,6,2,3,114
1,6,2,4,2166
1,6,2,5,1596
1,6,2,6,1596
1,6,2,7,684
1,6,3,0,1176
1,6,3,1,504
1,6,3,2,504
1,6,3,3,84
1,6,3,4,1596
1,6,3,5,1176
1,6,3,6,1176
1,6,3,7,504
1,6,4,0,504
1,6,4,1,216
1,6,4,2,216
1,6,4,3,36
1,6,4,4,684
1,6,4,5,504
1,6,4,6,504
1,6,4,7,216
1,6,5,0,84
1,6,5,1,36
1,6,5,2,36
1,6,5,3,6
1,6,5,4,114
1,6,5,5,84
1,6,5,6,84
1,6,5,7,36
1,6,6,0,1176
1,6,6,1,504
1,6,6,2,504
1,6,6,3,84
1,6,6,4,1596
1,6,6,5,1176
1,6,6,6,1176
1,6,6,7,504
1,6,7,0,504
1,6,7,1,216
1,6,7,2,216
1,6,7,3,36
1,6,7,4,684
1,6,7,5,504
1,6,7,6,504
1,6,7,7,216
1,7,0,0,7056
1,7,0,1,3024
1,7,0,2,3024
1,7,0,3,504
1,7,0,4,9576
1,7,0,5,7056
1,7,0,6,7056
1,7,0,7,3024
1,7,1,0,3024
1,7,1,1,1296
1,7,1,2,1296
1,7,1,3,216
1,7,1,4,4104
1,7,1,5,3024
1,7,1,6,3024
1,7,1,7,1296
1,7,2,0,9576
1,7,2,1,4104
1,7,2,2,4104
1,7,2,3,684
1,7,2,4,12996
1,7,2,5,9576
1,7,2,6,9576
1,7,2,7,4104
1,7,3,0,7056
1,7,3,1,3024
1,7,3,2,3024
1,7,3,3,504
1,7,3,4,9576
1,7,3,5,7056
1,7,3,6,7056
1,7,3,7,3024
1,7,4,0,3024
1,7,4,1,1296
1,7,4,2,1296
1,7,4,3,216
1,7,4,4,4104
1,7,4,5,3024
1,7,4,6,3024
1,7,4,7,1296
1,7,5,0,504
1,7,5,1,216
1,7,5,2,216
1,7,5,3,36
1,7,5,4,684
1,7,5,5,504
1,7,5,6,504
1,7,5,7,216
1,7,6,0,7056
1,7,6,1,3024
1,7,6,2,3024
1,7,6,3,504
1,7,6,4,9576
1,7,6,5,7056
1,7,6,6,7056
1,7,6,7,3024
1,7,7,0,3024
1,7,7,1,1296
1,7,7,2,1296
1,7,7,3,216
1,7,7,4,4104
1,7,7,5,3024
1,7,7,6,3024
1,7,7,7,1296
2,0,0,0,16464
2,0,0,1,7056
2,0,0,2,7056
2,0,0,3,1176
2,0,0,4,22344
2,0,0,5,16464
2,0,0,6,16464
2,0,0,7,7056
2,0,1,0,7056
2,0,1,1,3024
2,0,1,2,3024
2,0,1,3,504
2,0,1,4,9576
2,0,1,5,7056
2,0,1,6,7056
2,0,1,7,3024
2,0,2,0,22344
2,0,2,1,9576
2,0,2,2,9576
2,0,2,3,1596
2,0,2,4,30324
2,0,2,5,22344
2,0,2,6,22344
2,0,2,7,9576
2,0,3,0,16464
2,0,3,1,7056
2,0,3,2,7056
2,0,3,3,1176
2,0,3,4,22344
2,0,3,5,16464
2,0,3,6,16464
2,0,3,7,7056
2,0,4,0,7056
2,0,4,1,3024
2,0,4,2,3024
2,0,4,3,504
2,0,4,4,9576
2,0,4,5,7056
2,0,4,6,7056
2,0,4,7,3024
2,0,5,0,1176
2,0,5,1,504
2,0,5,2,504
2,0,5,3,84
2,0,5,4,1596
2,0,5,5,1176
2,0,5,6,1176
2,0,5,7,504
2,0,6,0,16464
2,0,6,1,7056
2,0,6,2,7056
2,0,6,3,1176
2,0,6,4,22344
2,0,6,5,16464
2,0,6,6,16464
2,0,6,7,7056
2,0,7,0,7056
2,0,7,1,3024
2,0,7,2,3024
2,0,7,3,504
2,0,7,4,9576
2,0,7,5,7056
2,0,7,6,7056
2,0,7,7,3024
2,1,0,0,22344
2,1,0,1,9576
2,1,0,2,9576
2,1,0,3,1596
2,1,0,4,30324
2,1,0,5,22344
2,1,0,6,22344
2,1,0,7,9576
2,1,1,0,9576
2,1,1,1,4104
2,1,1,2,4104
2,1,1,3,684
2,1,1,4,12996
2,1,1,5,9576
2,1,1,6,9576
2,1,1,7,4104
2,1,2,0,30324
2,1,2,1,12996
2,1,2,2,12996
2,1,2,3,2166
2,1,2,4,41154
2,1,2,5,30324
2,1,2,6,30324
2,1,2,7,12996
2,1,3,0,22344
2,1,3,1,9576
2,1,3,2,9576
2,1,3,3,1596
2,1,3,4,30324
2,1,3,5,22344
2,1,3,6,22344
2,1,3,7,9576
2,1,4,0,9576
2,1,4,1,4104
2,1,4,2,4104
2,1,4,3,684
2,1,4,4,12996
2,1,4,5,9576
2,1,4,6,9576
2,1,4,7,4104
2,1,5,0,1596
2,1,5,1,684
2,1,5,2,684
2,1,5,3,114
2,1,5,4,2166
2,1,5,5,1596
2,1,5,6,1596
2,1,5,7,684
2,1,6,0,22344
2,1,6,1,9576
2,1,6,2,9576
2,1,6,3,1596
2,1,6,4,30324
2,1,6,5,22344
2,1,6,6,22344
2,1,6,7,9576
2,1,7,0,9576
2,1,7,1,4104
2,1,7,2,4104
2,1,7,3,684
2,1,7,4,12996
2,1,7,5,9576
2,1,7,6,9576
2,1,7,7,4104
2,2,0,0,7056
2,2,0,1,3024
2,2,0,2,3024
2,2,0,3,504
2,2,0,4,9576
2,2,0,5,7056
2,2,0,6,7056
2,2,0,7,3024
2,2,1,0,3024
2,2,1,1,1296
2,2,1,2,1296
2,2,1,3,216
2,2,1,4,4104
2,2,1,5,3024
2,2,1,6,3024
2,2,1,7,1296
2,2,2,0,9576
2,2,2,1,4104
2,2,2,2,4104
2,2,2,3,684
2,2,2,4,12996
2,2,2,5,9576
2,2,2,6,9576
2,2,2,7,4104
2,2,3,0,7056
2,2,3,1,3024
2,2,3,2,3024
2,2,3,3,504
2,2,3,4,9576
2,2,3,5,7056
2,2,3,6,7056
2,2,3,7,3024
2,2,4,0,3024
2,2,4,1,1296
2,2,4,2,1296
2,2,4,3,216
2,2,4,4,4104
2,2,4,5,3024
2,2,4,6,3024
2,2,4,7,1296
2,2,5,0,504
2,2,5,1,216
2,2,5,2,216
2,2,5,3,36
2,2,5,4,684
2,2,5,5,504
2,2,5,6,504
2,2,5,7,216
2,2,6,0,7056
2,2,6,1,3024
2,2,6,2,3024
2,2,6,3,504
2,2,6,4,9576
2,2,6,5,7056
2,2,6,6,7056
2,2,6,7,3024
2,2,7,0,3024
2,2,7,1,1296
2,2,7,2,1296
2,2,7,3,216
2,2,7,4,4104
2,2,7,5,3024
2,2,7,6,3024
2,2,7,7,1296
2,3,0,0,16464
2,3,0,1,7056
2,3,0,2,7056
2,3,0,3,1176
2,3,0,4,22344
2,3,0,5,16464
2,3,0,6,16464
2,3,0,7,7056
2,3,1,0,7056
2,3,1,1,3024
2,3,1,2,3024
2,3,1,3,504
2,3,1,4,9576
2,3,1,5,7056
2,3,1,6,7056
2,3,1,7,3024
2,3,2,0,22344
2,3,2,1,9576
2,3,2,2,9576
2,3,2,3,1596
2,3,2,4,30324
2,3,2,5,22344
2,3,2,6,22344
2,3,2,7,9576
2,3,3,0,16464
2,3,3,1,7056
2,3,3,2,7056
2,3,3,3,1176
2,3,3,4,22344
2,3,3,5,16464
2,3,3,6,16464
2,3,3,7,7056
2,3,4,0,7056
2,3,4,1,3024
2,3,4,2,3024
2,3,4,3,504
2,3,4,4,9576
2,3,4,5,7056
2,3,4,6,7056
2,3,4,7,3024
2,3,5,0,1176
2,3,5,1,504
2,3,5,2,504
2,3,5,3,84
2,3,5,4,1596
2,3,5,5,1176
2,3,5,6,1176
2,3,5,7,504
2,3,6,0,16464
2,3,6,1,7056
2,3,6,2,7056
2,3,6,3,1176
2,3,6,4,22344
2,3,6,5,16464
2,3,6,6,16464
2,3,6,7,7056
2,3,7,0,7056
2,3,7,1,3024
2,3,7,2,3024
2,3,7,3,504
2,3,7,4,9576
2,3,7,5,7056
2,3,7,6,7056
2,3,7,7,3024
2,4,0,0,7056
2,4,0,1,3024
2,4,0,2,3024
2,4,0,3,504
2,4,0,4,9576
2,4,0,5,7056
2,4,0,6,7056
2,4,0,7,3024
2,4,1,0,3024
2,4,1,1,1296
2,4,1,2,1296
2,4,1,3,216
2,4,1,4,4104
2,4,1,5,3024
2,4,1,6,3024
2,4,1,7,1296
2,4,2,0,9576
2,4,2,1,4104
2,4,2,2,4104
2,4,2,3,684
2,4,2,4,12996
2,4,2,5,9576
2,4,2,6,9576
2,4,2,7,4104
2,4,3,0,7056
2,4,3,1,3024
2,4,3,2,3024
2,4,3,3,504
2,4,3,4,9576
2,4,3,5,7056
2,4,3,6,7056
2,4,3,7,3024
