f0,f1,f2,f3,n_params
4,3,5,4,240
4,3,5,5,40
4,3,5,6,440
4,3,5,7,120
4,3,6,0,440
4,3,6,1,120
4,3,6,2,240
4,3,6,3,40
4,3,6,4,240
4,3,6,5,40
4,3,6,6,440
4,3,6,7,120
4,3,7,0,1320
4,3,7,1,360
4,3,7,2,720
4,3,7,3,120
4,3,7,4,720
4,3,7,5,120
4,3,7,6,1320
4,3,7,7,360
4,5,0,0,4840
4,5,0,1,1320
4,5,0,2,2640
4,5,0,3,440
4,5,0,4,2640
4,5,0,5,440
4,5,0,6,4840
4,5,0,7,1320
4,5,1,0,2640
4,5,1,1,720
4,5,1,2,1440
4,5,1,3,240
4,5,1,4,1440
4,5,1,5,240
4,5,1,6,2640
4,5,1,7,720
4,5,2,0,2640
4,5,2,1,720
4,5,2,2,1440
4,5,2,3,240
4,5,2,4,1440
4,5,2,5,240
4,5,2,6,2640
4,5,2,7,720
4,5,3,0,4840
4,5,3,1,1320
4,5,3,2,2640
4,5,3,3,440
4,5,3,4,2640
4,5,3,5,440
4,5,3,6,4840
4,5,3,7,1320
4,5,4,0,1320
4,5,4,1,360
4,5,4,2,720
4,5,4,3,120
4,5,4,4,720
4,5,4,5,120
4,5,4,6,1320
4,5,4,7,360
4,5,5,0,440
4,5,5,1,120
4,5,5,2,240
4,5,5,3,40
4,5,5,4,240
4,5,5,5,40
4,5,5,6,440
4,5,5,7,120
4,5,6,0,440
4,5,6,1,120
4,5,6,2,240
4,5,6,3,40
4,5,6,4,240
4,5,6,5,40
4,5,6,6,440
4,5,6,7,120
4,5,7,0,1320
4,5,7,1,360
4,5,7,2,720
4,5,7,3,120
4,5,7,4,720
4,5,7,5,120
4,5,7,6,1320
4,5,7,7,360
4,7,0,0,3025
4,7,0,1,825
4,7,0,2,1650
4,7,0,3,275
4,7,0,4,1650
4,7,0,5,275
4,7,0,6,3025
4,7,0,7,825
4,7,1,0,1650
4,7,1,1,450
4,7,1,2,900
4,7,1,3,150
4,7,1,4,900
4,7,1,5,150
4,7,1,6,1650
4,7,1,7,450
4,7,2,0,1650
4,7,2,1,450
4,7,2,2,900
4,7,2,3,150
4,7,2,4,900
4,7,2,5,150
4,7,2,6,1650
4,7,2,7,450
4,7,3,0,3025
4,7,3,1,825
4,7,3,2,1650
4,7,3,3,275
4,7,3,4,1650
4,7,3,5,275
4,7,3,6,3025
4,7,3,7,825
4,7,4,0,825
4,7,4,1,225
4,7,4,2,450
4,7,4,3,75
4,7,4,4,450
4,7,4,5,75
4,7,4,6,825
4,7,4,7,225
4,7,5,0,275
4,7,5,1,75
4,7,5,2,150
4,7,5,3,25
4,7,5,4,150
4,7,5,5,25
4,7,5,6,275
4,7,5,7,75
4,7,6,0,275
4,7,6,1,75
4,7,6,2,150
4,7,6,3,25
4,7,6,4,150
4,7,6,5,25
4,7,6,6,275
4,7,6,7,75
4,7,7,0,825
4,7,7,1,225
4,7,7,2,450
4,7,7,3,75
4,7,7,4,450
4,7,7,5,75
4,7,7,6,825
4,7,7,7,225
5,1,0,0,4840
5,1,0,1,1320
5,1,0,2,2640
5,1,0,3,440
5,1,0,4,2640
5,1,0,5,440
5,1,0,6,4840
5,1,0,7,1320
5,1,1,0,2640
5,1,1,1,720
5,1,1,2,1440
5,1,1,3,240
5,1,1,4,1440
5,1,1,5,240
5,1,1,6,2640
5,1,1,7,720
5,1,2,0,2640
5,1,2,1,720
5,1,2,2,1440
5,1,2,3,240
5,1,2,4,1440
5,1,2,5,240
5,1,2,6,2640
5,1,2,7,720
5,1,3,0,4840
5,1,3,1,1320
5,1,3,2,2640
5,1,3,3,440
5,1,3,4,2640
5,1,3,5,440
5,1,3,6,4840
5,1,3,7,1320
5,1,4,0,1320
5,1,4,1,360
5,1,4,2,720
5,1,4,3,120
5,1,4,4,720
5,1,4,5,120
5,1,4,6,1320
5,1,4,7,360
5,1,5,0,440
5,1,5,1,120
5,1,5,2,240
5,1,5,3,40
5,1,5,4,240
5,1,5,5,40
5,1,5,6,440
5,1,5,7,120
5,1,6,0,440
5,1,6,1,120
5,1,6,2,240
5,1,6,3,40
5,1,6,4,240
5,1,6,5,40
5,1,6,6,440
5,1,6,7,120
5,1,7,0,1320
5,1,7,1,360
5,1,7,2,720
5,1,7,3,120
5,1,7,4,720
5,1,7,5,120
5,1,7,6,1320
5,1,7,7,360
5,3,0,0,7744
5,3,0,1,2112
5,3,0,2,4224
5,3,0,3,704
5,3,0,4,4224
5,3,0,5,704
5,3,0,6,7744
5,3,0,7,2112
5,3,1,0,4224
5,3,1,1,1152
5,3,1,2,2304
5,3,1,3,384
5,3,1,4,2304
5,3,1,5,384
5,3,1,6,4224
5,3,1,7,1152
5,3,2,0,4224
5,3,2,1,1152
5,3,2,2,2304
5,3,2,3,384
5,3,2,4,2304
5,3,2,5,384
5,3,2,6,4224
5,3,2,7,1152
5,3,3,0,7744
5,3,3,1,2112
5,3,3,2,4224
5,3,3,3,704
5,3,3,4,4224
5,3,3,5,704
5,3,3,6,7744
5,3,3,7,2112
5,3,4,0,2112
5,3,4,1,576
5,3,4,2,1152
5,3,4,3,192
5,3,4,4,1152
5,3,4,5,192
5,3,4,6,2112
5,3,4,7,576
5,3,5,0,704
5,3,5,1,192
5,3,5,2,384
5,3,5,3,64
5,3,5,4,384
5,3,5,5,64
5,3,5,6,704
5,3,5,7,192
5,3,6,0,704
5,3,6,1,192
5,3,6,2,384
5,3,6,3,64
5,3,6,4,384
5,3,6,5,64
5,3,6,6,704
5,3,6,7,192
5,3,7,0,2112
5,3,7,1,576
5,3,7,2,1152
5,3,7,3,192
5,3,7,4,1152
5,3,7,5,192
5,3,7,6,2112
5,3,7,7,576
5,5,0,0,7744
5,5,0,1,2112
5,5,0,2,4224
5,5,0,3,704
5,5,0,4,4224
5,5,0,5,704
5,5,0,6,7744
5,5,0,7,2112
5,5,1,0,4224
5,5,1,1,1152
5,5,1,2,2304
5,5,1,3,384
5,5,1,4,2304
5,5,1,5,384
5,5,1,6,4224
5,5,1,7,1152
5,5,2,0,4224
5,5,2,1,1152
5,5,2,2,2304
5,5,2,3,384
5,5,2,4,2304
5,5,2,5,384
5,5,2,6,4224
5,5,2,7,1152
5,5,3,0,7744
5,5,3,1,2112
5,5,3,2,4224
5,5,3,3,704
5,5,3,4,4224
5,5,3,5,704
5,5,3,6,7744
5,5,3,7,2112
5,5,4,0,2112
5,5,4,1,576
5,5,4,2,1152
5,5,4,3,192
5,5,4,4,1152
5,5,4,5,192
5,5,4,6,2112
5,5,4,7,576
5,5,5,0,704
5,5,5,1,192
5,5,5,2,384
5,5,5,3,64
5,5,5,4,384
5,5,5,5,64
5,5,5,6,704
5,5,5,7,192
5,5,6,0,704
5,5,6,1,192
5,5,6,2,384
5,5,6,3,64
5,5,6,4,384
5,5,6,5,64
5,5,6,6,704
5,5,6,7,192
5,5,7,0,2112
5,5,7,1,576
5,5,7,2,1152
5,5,7,3,192
5,5,7,4,1152
5,5,7,5,192
5,5,7,6,2112
5,5,7,7,576
5,7,0,0,4840
5,7,0,1,1320
5,7,0,2,2640
5,7,0,3,440
5,7,0,4,2640
5,7,0,5,440
5,7,0,6,4840
5,7,0,7,1320
5,7,1,0,2640
5,7,1,1,720
5,7,1,2,1440
5,7,1,3,240
5,7,1,4,1440
5,7,1,5,240
5,7,1,6,2640
5,7,1,7,720
5,7,2,0,2640
5,7,2,1,720
5,7,2,2,1440
5,7,2,3,240
5,7,2,4,1440
5,7,2,5,240
5,7,2,6,2640
5,7,2,7,720
5,7,3,0,4840
5,7,3,1,1320
5,7,3,2,2640
5,7,3,3,440
5,7,3,4,2640
5,7,3,5,440
5,7,3,6,4840
5,7,3,7,1320
5,7,4,0,1320
5,7,4,1,360
5,7,4,2,720
5,7,4,3,120
5,7,4,4,720
5,7,4,5,120
5,7,4,6,1320
5,7,4,7,360
5,7,5,0,440
5,7,5,1,120
5,7,5,2,240
5,7,5,3,40
5,7,5,4,240
5,7,5,5,40
5,7,5,6,440
5,7,5,7,120
5,7,6,0,440
5,7,6,1,120
5,7,6,2,240
5,7,6,3,40
5,7,6,4,240
5,7,6,5,40
5,7,6,6,440
5,7,6,7,120
5,7,7,0,1320
5,7,7,1,360
5,7,7,2,720
5,7,7,3,120
5,7,7,4,720
5,7,7,5,120
5,7,7,6,1320
5,7,7,7,360
6,1,0,0,4840
6,1,0,1,1320
6,1,0,2,2640
6,1,0,3,440
6,1,0,4,2640
6,1,0,5,440
6,1,0,6,4840
6,1,0,7,1320
6,1,1,0,2640
6,1,1,1,720
6,1,1,2,1440
6,1,1,3,240
6,1,1,4,1440
6,1,1,5,240
6,1,1,6,2640
6,1,1,7,720
6,1,2,0,2640
6,1,2,1,720
6,1,2,2,1440
6,1,2,3,240
6,1,2,4,1440
6,1,2,5,240
6,1,2,6,2640
6,1,2,7,720
6,1,3,0,4840
6,1,3,1,1320
6,1,3,2,2640
6,1,3,3,440
6,1,3,4,2640
6,1,3,5,440
6,1,3,6,4840
6,1,3,7,1320
6,1,4,0,1320
6,1,4,1,360
6,1,4,2,720
6,1,4,3,120
6,1,4,4,720
6,1,4,5,120
6,1,4,6,1320
6,1,4,7,360
6,1,5,0,440
6,1,5,1,120
6,1,5,2,240
6,1,5,3,40
6,1,5,4,240
6,1,5,5,40
6,1,5,6,440
6,1,5,7,120
6,1,6,0,440
6,1,6,1,120
6,1,6,2,240
6,1,6,3,40
6,1,6,4,240
6,1,6,5,40
6,1,6,6,440
6,1,6,7,120
6,1,7,0,1320
6,1,7,1,360
6,1,7,2,720
6,1,7,3,120
6,1,7,4,720
6,1,7,5,120
6,1,7,6,1320
6,1,7,7,360
6,3,0,0,7744
6,3,0,1,2112
6,3,0,2,4224
6,3,0,3,704
6,3,0,4,4224
6,3,0,5,704
6,3,0,6,7744
6,3,0,7,2112
6,3,1,0,4224
6,3,1,1,1152
6,3,1,2,2304
6,3,1,3,384
6,3,1,4,2304
6,3,1,5,384
6,3,1,6,4224
6,3,1,7,1152
6,3,2,0,4224
6,3,2,1,1152
6,3,2,2,2304
6,3,2,3,384
6,3,2,4,2304
6,3,2,5,384
6,3,2,6,4224
6,3,2,7,1152
6,3,3,0,7744
6,3,3,1,2112
6,3,3,2,4224
6,3,3,3,704
6,3,3,4,4224
6,3,3,5,704
6,3,3,6,7744
6,3,3,7,2112
6,3,4,0,2112
6,3,4,1,576
6,3,4,2,1152
6,3,4,3,192
6,3,4,4,1152
6,3,4,5,192
6,3,4,6,2112
6,3,4,7,576
6,3,5,0,704
6,3,5,1,192
6,3,5,2,384
6,3,5,3,64
6,3,5,4,384
6,3,5,5,64
6,3,5,6,704
6,3,5,7,192
6,3,6,0,704
6,3,6,1,192
6,3,6,2,384
6,3,6,3,64
6,3,6,4,384
6,3,6,5,64
6,3,6,6,704
6,3,6,7,192
6,3,7,0,2112
6,3,7,1,576
6,3,7,2,1152
6,3,7,3,192
6,3,7,4,1152
6,3,7,5,192
6,3,7,6,2112
6,3,7,7,576
6,5,0,0,7744
6,5,0,1,2112
6,5,0,2,4224
6,5,0,3,704
6,5,0,4,4224
6,5,0,5,704
6,5,0,6,7744
6,5,0,7,2112
6,5,1,0,4224
6,5,1,1,1152
6,5,1,2,2304
6,5,1,3,384
6,5,1,4,2304
6,5,1,5,384
6,5,1,6,4224
6,5,1,7,1152
6,5,2,0,4224
6,5,2,1,1152
6,5,2,2,2304
6,5,2,3,384
6,5,2,4,2304
6,5,2,5,384
6,5,2,6,4224
6,5,2,7,1152
6,5,3,0,7744
6,5,3,1,2112
6,5,3,2,4224
6,5,3,3,704
6,5,3,4,4224
6,5,3,5,704
6,5,3,6,7744
6,5,3,7,2112
6,5,4,0,2112
6,5,4,1,576
6,5,4,2,1152
6,5,4,3,192
6,5,4,4,1152
6,5,4,5,192
6,5,4,6,2112
6,5,4,7,576
6,5,5,0,704
6,5,5,1,192
6,5,5,2,384
6,5,5,3,64
6,5,5,4,384
6,5,5,5,64
6,5,5,6,704
6,5,5,7,192
6,5,6,0,704
6,5,6,1,192
6,5,6,2,384
6,5,6,3,64
6,5,6,4,384
6,5,6,5,64
6,5,6,6,704
6,5,6,7,192
6,5,7,0,2112
6,5,7,1,576
6,5,7,2,1152
6,5,7,3,192
6,5,7,4,1152
6,5,7,5,192
6,5,7,6,2112
6,5,7,7,576
6,7,0,0,4840
6,7,0,1,1320
6,7,0,2,2640
6,7,0,3,440
6,7,0,4,2640
6,7,0,5,440
6,7,0,6,4840
6,7,0,7,1320
6,7,1,0,2640
6,7,1,1,720
6,7,1,2,1440
6,7,1,3,240
6,7,1,4,1440
6,7,1,5,240
6,7,1,6,2640
6,7,1,7,720
6,7,2,0,2640
6,7,2,1,720
6,7,2,2,1440
6,7,2,3,240
6,7,2,4,1440
6,7,2,5,240
6,7,2,6,2640
6,7,2,7,720
6,7,3,0,4840
6,7,3,1,1320
6,7,3,2,2640
6,7,3,3,440
6,7,3,4,2640
6,7,3,5,440
6,7,3,6,4840
6,7,3,7,1320
6,7,4,0,1320
6,7,4,1,360
6,7,4,2,720
6,7,4,3,120
6,7,4,4,720
6,7,4,5,120
6,7,4,6,1320
6,7,4,7,360
6,7,5,0,440
6,7,5,1,120
6,7,5,2,240
6,7,5,3,40
6,7,5,4,240
6,7,5,5,40
6,7,5,6,440
6,7,5,7,120
6,7,6,0,440
6,7,6,1,120
6,7,6,2,240
6,7,6,3,40
6,7,6,4,240
6,7,6,5,40
6,7,6,6,440
6,7,6,7,120
6,7,7,0,1320
6,7,7,1,360
6,7,7,2,720
6,7,7,3,120
6,7,7,4,720
6,7,7,5,120
6,7,7,6,1320
6,7,7,7,360
7,1,0,0,3025
7,1,0,1,825
7,1,0,2,1650
7,1,0,3,275
7,1,0,4,1650
7,1,0,5,275
7,1,0,6,3025
7,1,0,7,825
7,1,1,0,1650
7,1,1,1,450
7,1,1,2,900
7,1,1,3,150
7,1,1,4,900
7,1,1,5,150
7,1,1,6,1650
7,1,1,7,450
7,1,2,0,1650
7,1,2,1,450
7,1,2,2,900
7,1,2,3,150
7,1,2,4,900
7,1,2,5,150
7,1,2,6,1650
7,1,2,7,450
7,1,3,0,3025
7,1,3,1,825
7,1,3,2,1650
7,1,3,3,275
7,1,3,4,1650
7,1,3,5,275
7,1,3,6,3025
7,1,3,7,825
7,1,4,0,825
7,1,4,1,225
7,1,4,2,450
7,1,4,3,75
7,1,4,4,450
7,1,4,5,75
7,1,4,6,825
7,1,4,7,225
7,1,5,0,275
7,1,5,1,75
7,1,5,2,150
7,1,5,3,25
7,1,5,4,150
7,1,5,5,25
7,1,5,6,275
7,1,5,7,75
7,1,6,0,275
7,1,6,1,75
7,1,6,2,150
7,1,6,3,25
7,1,6,4,150
7,1,6,5,25
7,1,6,6,275
7,1,6,7,75
7,1,7,0,825
7,1,7,1,225
7,1,7,2,450
7,1,7,3,75
7,1,7,4,450
7,1,7,5,75
7,1,7,6,825
7,1,7,7,225
7,3,0,0,4840
7,3,0,1,1320
7,3,0,2,2640
7,3,0,3,440
7,3,0,4,2640
7,3,0,5,440
7,3,0,6,4840
7,3,0,7,1320
7,3,1,0,2640
7,3,1,1,720
7,3,1,2,1440
7,3,1,3,240
7,3,1,4,1440
7,3,1,5,240
7,3,1,6,2640
7,3,1,7,720
7,3,2,0,2640
7,3,2,1,720
7,3,2,2,1440
7,3,2,3,240
7,3,2,4,1440
7,3,2,5,240
7,3,2,6,2640
7,3,2,7,720
7,3,3,0,4840
7,3,3,1,1320
7,3,3,2,2640
7,3,3,3,440
7,3,3,4,2640
7,3,3,5,440
7,3,3,6,4840
7,3,3,7,1320
7,3,4,0,1320
7,3,4,1,360
7,3,4,2,720
7,3,4,3,120
7,3,4,4,720
7,3,4,5,120
7,3,4,6,1320
7,3,4,7,360
7,3,5,0,440
7,3,5,1,120
7,3,5,2,240
7,3,5,3,40
7,3,5,4,240
7,3,5,5,40
7,3,5,6,440
7,3,5,7,120
7,3,6,0,440
7,3,6,1,120
7,3,6,2,240
7,3,6,3,40
7,3,6,4,240
7,3,6,5,40
7,3,6,6,440
7,3,6,7,120
7,3,7,0,1320
7,3,7,1,360
7,3,7,2,720
7,3,7,3,120
7,3,7,4,720
7,3,7,5,120
7,3,7,6,1320
7,3,7,7,360
7,5,0,0,4840
7,5,0,1,1320
7,5,0,2,2640
7,5,0,3,440
7,5,0,4,2640
7,5,0,5,440
7,5,0,6,4840
7,5,0,7,1320
7,5,1,0,2640
7,5,1,1,720
7,5,1,2,1440
7,5,1,3,240
7,5,1,4,1440
7,5,1,5,240
7,5,1,6,2640
7,5,1,7,720
7,5,2,0,2640
7,5,2,1,720
7,5,2,2,1440
7,5,2,3,240
7,5,2,4,1440
7,5,2,5,240
7,5,2,6,2640
7,5,2,7,720
7,5,3,0,4840
7,5,3,1,1320
7,5,3,2,2640
7,5,3,3,440
7,5,3,4,2640
7,5,3,5,440
7,5,3,6,4840
7,5,3,7,1320
7,5,4,0,1320
7,5,4,1,360
7,5,4,2,720
7,5,4,3,120
7,5,4,4,720
7,5,4,5,120
7,5,4,6,1320
7,5,4,7,360
7,5,5,0,440
7,5,5,1,120
7,5,5,2,240
7,5,5,3,40
7,5,5,4,240
7,5,5,5,40
7,5,5,6,440
7,5,5,7,120
7,5,6,0,440
7,5,6,1,120
7,5,6,2,240
7,5,6,3,40
7,5,6,4,240
7,5,6,5,40
7,5,6,6,440
7,5,6,7,120
7,5,7,0,1320
7,5,7,1,360
7,5,7,2,720
7,5,7,3,120
7,5,7,4,720
7,5,7,5,120
7,5,7,6,1320
7,5,7,7,360
7,7,0,0,3025
7,7,0,1,825
7,7,0,2,1650
7,7,0,3,275
7,7,0,4,1650
7,7,0,5,275
7,7,0,6,3025
7,7,0,7,825
7,7,1,0,1650
7,7,1,1,450
7,7,1,2,900
7,7,1,3,150
7,7,1,4,900
7,7,1,5,150
7,7,1,6,1650
7,7,1,7,450
7,7,2,0,1650
7,7,2,1,450
7,7,2,2,900
7,7,2,3,150
7,7,2,4,900
7,7,2,5,150
7,7,2,6,1650
7,7,2,7,450
7,7,3,0,3025
7,7,3,1,825
7,7,3,2,1650
7,7,3,3,275
7,7,3,4,1650
7,7,3,5,275
7,7,3,6,3025
7,7,3,7,825
7,7,4,0,825
7,7,4,1,225
7,7,4,2,450
7,7,4,3,75
7,7,4,4,450
7,7,4,5,75
7,7,4,6,825
7,7,4,7,225
7,7,5,0,275
7,7,5,1,75
7,7,5,2,150
7,7,5,3,25
7,7,5,4,150
7,7,5,5,25
7,7,5,6,275
7,7,5,7,75
7,7,6,0,275
7,7,6,1,75
7,7,6,2,150
7,7,6,3,25
7,7,6,4,150
7,7,6,5,25
7,7,6,6,275
7,7,6,7,75
7,7,7,0,825
7,7,7,1,225
7,7,7,2,450
7,7,7,3,75
7,7,7,4,450
7,7,7,5,75
7,7,7,6,825
7,7,7,7,225
