TGFbeta,SNAI1,miR200,ZEB1,miR34,OVOL2,CDH1,VIM,TGFbeta_count,SNAI1_count,miR200_count,ZEB1_count,miR34_count,OVOL2_count,CDH1_count,VIM_count,counts
0,1,1,0,1,1,0,1,5,1,3,14,3,2,2,5,12600
0,1,1,0,1,1,1,1,5,1,3,14,3,2,2,5,12600
1,1,1,0,0,1,1,1,1,5,3,14,3,2,2,5,12600
1,1,1,0,0,1,0,1,1,5,3,14,3,2,2,5,12600
1,0,1,0,0,0,1,0,3,1,5,14,1,1,4,13,10920
0,1,0,1,1,1,0,1,3,1,5,14,1,1,4,13,10920
0,1,0,0,0,1,1,1,3,3,3,6,3,2,2,5,9720
0,1,0,0,0,1,0,1,3,3,3,6,3,2,2,5,9720
0,0,1,1,0,0,0,0,3,3,3,6,3,2,2,5,9720
1,1,0,0,1,1,1,1,3,3,3,6,3,2,2,5,9720
1,1,0,0,1,1,0,1,3,3,3,6,3,2,2,5,9720
0,0,1,1,0,0,1,0,3,3,3,6,3,2,2,5,9720
1,0,1,1,1,0,1,0,3,3,3,6,3,2,2,5,9720
1,0,1,1,1,0,0,0,3,3,3,6,3,2,2,5,9720
1,0,0,0,1,0,1,1,5,3,1,6,5,1,4,5,9000
0,1,1,1,0,1,0,0,5,3,1,6,5,1,4,5,9000
0,1,0,0,1,1,1,0,3,1,3,6,3,2,2,13,8424
0,1,0,0,1,1,0,0,3,1,3,6,3,2,2,13,8424
1,0,1,1,0,0,0,1,3,1,3,6,3,2,2,13,8424
1,0,1,1,0,0,1,1,3,1,3,6,3,2,2,13,8424
0,0,0,1,1,1,1,1,3,5,3,6,3,1,2,5,8100
0,0,0,1,1,1,0,1,3,5,3,6,3,1,2,5,8100
1,1,1,0,0,0,0,0,3,5,3,6,3,1,2,5,8100
1,1,1,0,0,0,1,0,3,5,3,6,3,1,2,5,8100
0,0,0,0,1,0,1,0,1,5,1,6,5,1,4,13,7800
1,1,1,1,0,1,0,1,1,5,1,6,5,1,4,13,7800
1,1,1,0,1,1,0,1,1,3,3,14,3,2,2,5,7560
1,1,1,0,1,1,1,1,1,3,3,14,3,2,2,5,7560
0,0,0,1,0,0,1,0,1,3,3,14,3,2,2,5,7560
0,0,0,1,0,0,0,0,1,3,3,14,3,2,2,5,7560
0,1,1,1,1,0,0,1,3,1,1,14,1,2,4,18,6048
1,0,0,0,0,1,1,0,3,1,1,14,1,2,4,18,6048
0,0,1,1,1,1,0,0,5,5,3,1,3,1,2,13,5850
0,0,1,1,1,1,1,0,5,5,3,1,3,1,2,13,5850
1,1,0,0,0,0,1,1,5,5,3,1,3,1,2,13,5850
1,1,0,0,0,0,0,1,5,5,3,1,3,1,2,13,5850
0,0,0,1,0,1,1,1,3,3,3,6,3,1,2,5,4860
1,0,0,1,1,1,1,1,3,3,3,6,3,1,2,5,4860
0,0,0,1,0,1,0,1,3,3,3,6,3,1,2,5,4860
1,0,0,1,1,1,0,1,3,3,3,6,3,1,2,5,4860
1,1,1,0,1,0,0,0,3,3,3,6,3,1,2,5,4860
0,1,1,0,0,0,0,0,3,3,3,6,3,1,2,5,4860
1,1,1,0,1,0,1,0,3,3,3,6,3,1,2,5,4860
0,1,1,0,0,0,1,0,3,3,3,6,3,1,2,5,4860
0,1,1,0,1,0,0,1,3,1,3,6,3,1,2,13,4212
0,1,1,0,1,0,1,1,3,1,3,6,3,1,2,13,4212
1,0,0,1,0,1,1,0,3,1,3,6,3,1,2,13,4212
1,0,0,1,0,1,0,0,3,1,3,6,3,1,2,13,4212
1,0,1,0,0,0,1,1,3,1,5,14,1,1,4,5,4200
0,1,0,1,1,1,0,0,3,1,5,14,1,1,4,5,4200
1,1,0,0,1,0,1,1,5,3,3,1,3,1,2,13,3510
1,1,0,0,1,0,0,1,5,3,3,1,3,1,2,13,3510
0,0,1,1,0,1,0,0,5,3,3,1,3,1,2,13,3510
0,0,1,1,0,1,1,0,5,3,3,1,3,1,2,13,3510
0,1,0,0,1,1,0,1,3,1,3,6,3,2,2,5,3240
0,1,0,0,1,1,1,1,3,1,3,6,3,2,2,5,3240
1,0,1,1,0,0,1,0,3,1,3,6,3,2,2,5,3240
1,0,1,1,0,0,0,0,3,1,3,6,3,2,2,5,3240
1,1,1,1,0,1,0,0,1,5,1,6,5,1,4,5,3000
0,0,0,0,1,0,1,1,1,5,1,6,5,1,4,5,3000
1,1,0,0,0,0,0,0,5,5,3,1,3,1,2,5,2250
1,1,0,0,0,0,1,0,5,5,3,1,3,1,2,5,2250
0,0,1,1,1,1,1,1,5,5,3,1,3,1,2,5,2250
0,0,1,1,1,1,0,1,5,5,3,1,3,1,2,5,2250
1,0,0,1,0,1,0,1,3,1,3,6,3,1,2,5,1620
1,0,0,1,0,1,1,1,3,1,3,6,3,1,2,5,1620
0,1,1,0,1,0,1,0,3,1,3,6,3,1,2,5,1620
0,1,1,0,1,0,0,0,3,1,3,6,3,1,2,5,1620
0,1,1,1,1,1,0,1,5,1,1,6,1,1,4,13,1560
1,0,0,0,0,0,1,0,5,1,1,6,1,1,4,13,1560
1,1,0,0,1,0,0,0,5,3,3,1,3,1,2,5,1350
1,1,0,0,1,0,1,0,5,3,3,1,3,1,2,5,1350
0,0,1,1,0,1,1,1,5,3,3,1,3,1,2,5,1350
0,0,1,1,0,1,0,1,5,3,3,1,3,1,2,5,1350
0,0,0,0,0,0,1,0,1,3,1,6,1,1,4,13,936
1,1,1,1,1,1,0,1,1,3,1,6,1,1,4,13,936
1,0,1,1,1,1,1,0,1,3,3,1,3,1,2,13,702
1,0,1,1,1,1,0,0,1,3,3,1,3,1,2,13,702
0,1,0,0,0,0,0,1,1,3,3,1,3,1,2,13,702
0,1,0,0,0,0,1,1,1,3,3,1,3,1,2,13,702
1,0,0,0,0,0,1,1,5,1,1,6,1,1,4,5,600
0,1,1,1,1,1,0,0,5,1,1,6,1,1,4,5,600
1,1,1,1,1,1,0,0,1,3,1,6,1,1,4,5,360
0,0,0,0,0,0,1,1,1,3,1,6,1,1,4,5,360
0,1,0,0,0,0,0,0,1,3,3,1,3,1,2,5,270
0,1,0,0,0,0,1,0,1,3,3,1,3,1,2,5,270
1,0,1,1,1,1,1,1,1,3,3,1,3,1,2,5,270
1,0,1,1,1,1,0,1,1,3,3,1,3,1,2,5,270
0,1,0,0,1,0,0,1,1,1,3,1,3,1,2,13,234
0,1,0,0,1,0,1,1,1,1,3,1,3,1,2,13,234
1,0,1,1,0,1,1,0,1,1,3,1,3,1,2,13,234
1,0,1,1,0,1,0,0,1,1,3,1,3,1,2,13,234
0,1,0,0,1,0,0,0,1,1,3,1,3,1,2,5,90
0,1,0,0,1,0,1,0,1,1,3,1,3,1,2,5,90
1,0,1,1,0,1,1,1,1,1,3,1,3,1,2,5,90
1,0,1,1,0,1,0,1,1,1,3,1,3,1,2,5,90
1,1,0,1,0,1,1,0,3,5,5,14,5,1,0,5,0
0,1,0,1,0,1,1,0,3,3,5,14,5,1,0,5,0
0,1,1,1,0,1,1,0,5,3,1,6,5,1,0,5,0
1,1,1,1,0,1,1,0,1,5,1,6,5,1,0,5,0
1,1,1,1,1,1,1,0,1,3,1,6,1,1,0,5,0
0,1,1,1,1,1,1,0,5,1,1,6,1,1,0,5,0
0,1,0,1,1,1,1,0,3,1,5,14,1,1,0,5,0
1,1,0,1,1,1,1,0,3,3,5,14,1,1,0,5,0
1,1,0,1,1,0,1,0,5,3,5,19,1,2,0,0,0
0,1,0,1,1,0,1,0,1,1,5,19,1,2,0,0,0
0,1,1,1,1,0,1,0,3,1,1,14,1,2,0,0,0
1,1,1,1,1,0,1,0,3,3,1,14,1,2,0,0,0
1,1,1,1,0,0,1,0,3,5,1,14,5,2,0,0,0
0,1,1,1,0,0,1,0,3,3,1,14,5,2,0,0,0
0,1,0,1,0,0,1,0,1,3,5,19,5,2,0,0,0
1,1,0,1,0,0,1,0,5,5,5,19,5,2,0,0,0
1,1,0,1,0,0,0,0,5,5,5,19,5,2,4,0,0
0,1,0,1,0,0,0,0,1,3,5,19,5,2,4,0,0
0,1,1,1,0,0,0,0,3,3,1,14,5,2,4,0,0
1,1,1,1,0,0,0,0,3,5,1,14,5,2,4,0,0
1,0,1,0,0,0,0,0,3,1,5,14,1,1,0,13,0
0,0,1,0,0,0,0,0,3,3,5,14,1,1,0,13,0
0,0,0,0,0,0,0,0,1,3,1,6,1,1,0,13,0
1,0,0,0,0,0,0,0,5,1,1,6,1,1,0,13,0
1,0,0,0,1,0,0,0,5,3,1,6,5,1,0,13,0
0,0,0,0,1,0,0,0,1,5,1,6,5,1,0,13,0
0,0,1,0,1,0,0,0,3,5,5,14,5,1,0,13,0
1,0,1,0,1,0,0,0,3,3,5,14,5,1,0,13,0
1,1,1,1,1,0,0,0,3,3,1,14,1,2,4,0,0
0,1,1,1,1,0,0,0,3,1,1,14,1,2,4,0,0
0,1,0,1,1,0,0,0,1,1,5,19,1,2,4,0,0
1,1,0,1,1,0,0,0,5,3,5,19,1,2,4,0,0
1,0,1,0,1,1,0,0,1,3,5,19,5,2,0,18,0
0,0,1,0,1,1,0,0,5,5,5,19,5,2,0,18,0
0,0,0,0,1,1,0,0,3,5,1,14,5,2,0,18,0
1,0,0,0,1,1,0,0,3,3,1,14,5,2,0,18,0
1,0,0,0,0,1,0,0,3,1,1,14,1,2,0,18,0
0,0,0,0,0,1,0,0,3,3,1,14,1,2,0,18,0
0,0,1,0,0,1,0,0,5,3,5,19,1,2,0,18,0
1,0,1,0,0,1,0,0,1,1,5,19,1,2,0,18,0
1,1,0,1,1,1,1,1,3,3,5,14,1,1,0,13,0
0,1,0,1,1,1,1,1,3,1,5,14,1,1,0,13,0
0,1,1,1,1,1,1,1,5,1,1,6,1,1,0,13,0
1,1,1,1,1,1,1,1,1,3,1,6,1,1,0,13,0
1,0,1,0,1,1,1,1,1,3,5,19,5,2,4,0,0
0,0,1,0,1,1,1,1,5,5,5,19,5,2,4,0,0
0,0,0,0,1,1,1,1,3,5,1,14,5,2,4,0,0
1,0,0,0,1,1,1,1,3,3,1,14,5,2,4,0,0
1,1,0,1,0,0,1,1,5,5,5,19,5,2,0,18,0
0,1,0,1,0,0,1,1,1,3,5,19,5,2,0,18,0
0,1,1,1,0,0,1,1,3,3,1,14,5,2,0,18,0
1,1,1,1,0,0,1,1,3,5,1,14,5,2,0,18,0
1,1,1,1,1,0,1,1,3,3,1,14,1,2,0,18,0
0,1,1,1,1,0,1,1,3,1,1,14,1,2,0,18,0
0,1,0,1,1,0,1,1,1,1,5,19,1,2,0,18,0
1,1,0,1,1,0,1,1,5,3,5,19,1,2,0,18,0
1,0,0,0,0,1,1,1,3,1,1,14,1,2,4,0,0
0,0,0,0,0,1,1,1,3,3,1,14,1,2,4,0,0
0,0,1,0,0,1,1,1,5,3,5,19,1,2,4,0,0
1,0,1,0,0,1,1,1,1,1,5,19,1,2,4,0,0
1,1,1,1,0,1,1,1,1,5,1,6,5,1,0,13,0
0,1,1,1,0,1,1,1,5,3,1,6,5,1,0,13,0
0,1,0,1,0,1,1,1,3,3,5,14,5,1,0,13,0
1,1,0,1,0,1,1,1,3,5,5,14,5,1,0,13,0
1,0,1,0,0,1,0,1,1,1,5,19,1,2,0,0,0
0,0,1,0,0,1,0,1,5,3,5,19,1,2,0,0,0
0,0,0,0,0,1,0,1,3,3,1,14,1,2,0,0,0
1,0,0,0,0,1,0,1,3,1,1,14,1,2,0,0,0
1,0,0,0,1,1,0,1,3,3,1,14,5,2,0,0,0
0,0,0,0,1,1,0,1,3,5,1,14,5,2,0,0,0
0,0,1,0,1,1,0,1,5,5,5,19,5,2,0,0,0
1,0,1,0,1,1,0,1,1,3,5,19,5,2,0,0,0
1,0,1,0,1,0,0,1,3,3,5,14,5,1,0,5,0
0,0,1,0,1,0,0,1,3,5,5,14,5,1,0,5,0
0,0,0,0,1,0,0,1,1,5,1,6,5,1,0,5,0
1,0,0,0,1,0,0,1,5,3,1,6,5,1,0,5,0
1,0,0,0,0,0,0,1,5,1,1,6,1,1,0,5,0
0,0,0,0,0,0,0,1,1,3,1,6,1,1,0,5,0
0,0,1,0,0,0,0,1,3,3,5,14,1,1,0,5,0
1,0,1,0,0,0,0,1,3,1,5,14,1,1,0,5,0
